Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities,Criminal_Cases_Count,Has_Criminal_Cases,Assets_Numeric,Liabilities_Numeric,Education_Clean,Party_Type
832,Asaduddin Owaisi,HYDERABAD,All India Majlis-E-Ittehadul Muslimeen,5,Graduate Professional,"Rs 23,87,66,044  ~ 23 Crore+","Rs 7,05,00,000  ~ 7 Crore+",5,1,238766044.0,70500000.0,Graduate,Regional
833,Asgar A Mohin.S.M.,BANGALORE SOUTH,IND,0,12th Pass,"Rs 87,02,000  ~ 87 Lacs+",Rs 0  ~,0,0,8702000.0,0.0,12th Pass,Independent
834,Asha Devi,BARABANKI (SC),Swatantrata Abhivyakti Party,0,8th Pass,,,0,0,,,8th Pass,Regional
835,Asha Kumari Runda,SINGHBHUM (ST),IND,0,Post Graduate,"Rs 71,000  ~ 71 Thou+",Rs 0  ~,0,0,71000.0,0.0,Post Graduate,Independent
836,Ashavant Sahoo,BILASPUR,Bhartiya Shakti Chetna Party,0,Post Graduate,"Rs 42,24,000  ~ 42 Lacs+","Rs 13,29,248  ~ 13 Lacs+",0,0,4224000.0,1329248.0,Post Graduate,Regional
837,Ashis Das,BAHARAMPUR,IND,0,12th Pass,,,0,0,,,12th Pass,Independent
838,Ashish Bhaurao Sarode,RAMTEK (SC),Bhim Sena,0,Others,"Rs 50,000  ~ 50 Thou+",Rs 0  ~,0,0,50000.0,0.0,Other,Regional
839,Ashish Bhuimali,JANGIPUR,IND,0,8th Pass,"Rs 1,26,700  ~ 1 Lacs+",Rs 0  ~,0,0,126700.0,0.0,8th Pass,Independent
840,Ashish Dhyani,HARIDWAR,IND,0,Post Graduate,,,0,0,,,Post Graduate,Independent
841,Ashish Dubey,JABALPUR,BJP,0,Graduate Professional,"Rs 35,18,56,860  ~ 35 Crore+","Rs 1,35,29,284  ~ 1 Crore+",0,0,351856860.0,13529284.0,Graduate,National
842,Ashish Gangwar,BAREILLY,IND,0,Graduate Professional,"Rs 1,10,30,671  ~ 1 Crore+",Rs 0  ~,0,0,11030671.0,0.0,Graduate,Independent
843,Ashish Kumar,KODARMA,Right to Recall Party,0,Graduate,,,0,0,,,Graduate,Regional
844,Ashish Kumar,PILIBHIT,IND,0,Post Graduate,"Rs 14,13,000  ~ 14 Lacs+",Rs 0  ~,0,0,1413000.0,0.0,Post Graduate,Independent
845,Ashish Kumar Tiwari,RAIPUR,Aap Sabki Apni Party,1,Graduate,"Rs 1,30,000  ~ 1 Lacs+",Rs 0  ~,1,1,130000.0,0.0,Graduate,Regional
846,Ashish Lekhiram Izankar,WARDHA,Vidarbha Rajya Aghadi,0,Others,,,0,0,,,Other,Regional
847,Ashish Yogi,KOTA,Ekam Sanatan Bharat Dal,0,Graduate Professional,"Rs 7,77,911  ~ 7 Lacs+",Rs 0  ~,0,0,777911.0,0.0,Graduate,Regional
848,Ashok,HINDUPUR,SUCI(C),0,10th Pass,"Rs 22,09,615  ~ 22 Lacs+","Rs 10,000  ~ 10 Thou+",0,0,2209615.0,10000.0,10th Pass,Regional
849,Ashok Anand Gali,GUNTUR,IND,0,Graduate Professional,,,0,0,,,Graduate,Independent
850,Ashok Appaya Appugol,BELGAUM,BSP,0,12th Pass,"Rs 1,56,47,112  ~ 1 Crore+","Rs 9,00,000  ~ 9 Lacs+",0,0,15647112.0,900000.0,12th Pass,National
851,Ashok Baburao Jadhav,RAVER,Peoples Party of India (Democratic),0,Graduate Professional,"Rs 3,44,90,000  ~ 3 Crore+",Rs 0  ~,0,0,34490000.0,0.0,Graduate,Regional
852,Ashok Baudh,SATNA,IND,0,Graduate,,,0,0,,,Graduate,Independent
853,Ashok Bhagoji Thorat,BEED,Bahujan Maha Party,0,8th Pass,"Rs 6,50,000  ~ 6 Lacs+",Rs 0  ~,0,0,650000.0,0.0,8th Pass,Regional
854,Ashok Bhiku Bahadare,BHIWANDI,Sanyukt Bharat Paksh,0,10th Pass,"Rs 2,38,45,609  ~ 2 Crore+",Rs 0  ~,0,0,23845609.0,0.0,10th Pass,Regional
855,Ashok Dnyandev Waghmode,MADHA,IND,0,5th Pass,,,0,0,,,5th Pass,Independent
856,Ashok Gangaram Pawar,RATNAGIRI - SINDHUDURG,Bahujan Mukti Party,0,8th Pass,"Rs 16,38,600  ~ 16 Lacs+","Rs 10,75,000  ~ 10 Lacs+",0,0,1638600.0,1075000.0,8th Pass,Regional
857,Ashok Gupta,BALLIA,IND,0,10th Pass,"Rs 4,04,500  ~ 4 Lacs+",Rs 0  ~,0,0,404500.0,0.0,10th Pass,Independent
858,Ashok Jain,DURG,IND,0,12th Pass,,,0,0,,,12th Pass,Independent
859,Ashok Jangra,GURGAON,IND,0,Graduate,"Rs 2,25,13,482  ~ 2 Crore+","Rs 98,21,000  ~ 98 Lacs+",0,0,22513482.0,9821000.0,Graduate,Independent
860,Ashok Kandary,JAYNAGAR (SC),BJP,0,Graduate Professional,"Rs 20,01,52,336  ~ 20 Crore+",Rs 0  ~,0,0,200152336.0,0.0,Graduate,National
861,Ashok Kataria,KARNAL,Samst Samaj Party,0,10th Pass,,,0,0,,,10th Pass,Regional
862,Ashok Kisanrao Thorat,AKOLA,IND,0,8th Pass,"Rs 1,06,50,000  ~ 1 Crore+",Rs 0  ~,0,0,10650000.0,0.0,8th Pass,Independent
