Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities,Criminal_Cases_Count,Has_Criminal_Cases,Assets_Numeric,Liabilities_Numeric,Education_Clean,Party_Type
1,Abu Bakar Rahmani,MADHUBANI,Country Citizen Party,0,Post Graduate,"Rs 13,58,312  ~ 13 Lacs+",Rs 0  ~,0,0,1358312.0,0.0,Post Graduate,Regional
2,Adv Najib Shaikh,AKOLA,Indian National League,0,Graduate Professional,"Rs 25,87,782  ~ 25 Lacs+","Rs 18,00,000  ~ 18 Lacs+",0,0,2587782.0,1800000.0,Graduate,Regional
3,Advocate Balwinder Kumar,JALANDHAR (SC),BSP,1,Post Graduate,,,1,1,,,Post Graduate,National
4,Anandswamy Gaddadevarmath,HAVERI,INC,1,Graduate,"Rs 56,81,54,912  ~ 56 Crore+","Rs 22,46,68,569  ~ 22 Crore+",1,1,568154912.0,224668569.0,Graduate,National
5,Bhagyaraj. J,VILUPPURAM (SC),AIADMK,0,12th Pass,"Rs 4,79,83,303  ~ 4 Crore+","Rs 1,43,64,469  ~ 1 Crore+",0,0,47983303.0,14364469.0,12th Pass,Regional
6,Boominathan C,MADURAI,IND,0,5th Pass,,,0,0,,,5th Pass,Independent
7,Jagadesan A,KALLAKURICHI,Naam Tamilar Katchi,1,Graduate,"Rs 51,76,118  ~ 51 Lacs+",Rs 0  ~,1,1,5176118.0,0.0,Graduate,Regional
8,Karthikairajan P,SIVAGANGA,IND,0,Graduate,"Rs 32,946  ~ 32 Thou+",Rs 0  ~,0,0,32946.0,0.0,Graduate,Independent
9,L. Khaja Hussain,KADAPA,IND,0,Graduate,,,0,0,,,Graduate,Independent
10,M.Nagaraj,CHENNAI CENTRAL,IND,1,Graduate Professional,"Rs 32,21,200  ~ 32 Lacs+","Rs 17,00,000  ~ 17 Lacs+",1,1,3221200.0,1700000.0,Graduate,Independent
11,P. Sivakozhundu,CUDDALORE,DMDK,1,5th Pass,"Rs 84,08,000  ~ 84 Lacs+","Rs 20,00,000  ~ 20 Lacs+",1,1,8408000.0,2000000.0,5th Pass,Regional
12,"Sathiyamoorthy, S.",TIRUVANNAMALAI,Makkal Nala Kazhagam,0,Post Graduate,,,0,0,,,Post Graduate,Regional
13,Senthilmallar K,RAMANATHAPURAM,IND,1,Post Graduate,"Rs 12,74,059  ~ 12 Lacs+",Rs 0  ~,1,1,1274059.0,0.0,Post Graduate,Independent
14,Shoban Babu V,BANGALORE NORTH,Indian Labour Party (Ambedkar Phule),0,5th Pass,"Rs 50,000  ~ 50 Thou+",Rs 0  ~,0,0,50000.0,0.0,5th Pass,Regional
15,A . Raj,BANGALORE SOUTH,IND,0,Graduate,,,0,0,,,Graduate,Independent
16,A Annadurai,TIRUVANNAMALAI,IND,0,10th Pass,"Rs 6,84,000  ~ 6 Lacs+",Rs 0  ~,0,0,684000.0,0.0,10th Pass,Independent
17,A Asuvathaman,TIRUVANNAMALAI,BJP,2,Graduate Professional,"Rs 60,23,719  ~ 60 Lacs+","Rs 29,98,008  ~ 29 Lacs+",2,1,6023719.0,2998008.0,Graduate,National
18,A Beemarao Milinthar,VELLORE,United Republican Party of India,0,10th Pass,,,0,0,,,10th Pass,Regional
19,A Chinna Moulali,NANDYAL,BSP,0,Graduate Professional,"Rs 85,08,000  ~ 85 Lacs+","Rs 13,00,000  ~ 13 Lacs+",0,0,8508000.0,1300000.0,Graduate,National
20,A Jayachandran,ARAKKONAM,IND,0,10th Pass,"Rs 16,94,200  ~ 16 Lacs+",Rs 0  ~,0,0,1694200.0,0.0,10th Pass,Independent
21,A Jinna Mohammed,SRIPERUMBUDUR,IND,0,8th Pass,,,0,0,,,8th Pass,Independent
22,A Muthaiah,TENKASI (SC),IND,0,5th Pass,"Rs 66,289  ~ 66 Thou+",Rs 0  ~,0,0,66289.0,0.0,5th Pass,Independent
23,A Nakkeeran,TIRUVANNAMALAI,IND,0,Literate,"Rs 4,01,000  ~ 4 Lacs+",Rs 0  ~,0,0,401000.0,0.0,Below 5th,Independent
24,A Namassivayam,PUDUCHERRY,BJP,0,Others,,,0,0,,,Other,National
25,A Natarajan,VELLORE,Bharatiya Praja Aikyata Party,0,8th Pass,"Rs 1,55,000  ~ 1 Lacs+",Rs 0  ~,0,0,155000.0,0.0,8th Pass,Regional
26,A Palani,ARAKKONAM,IND,0,10th Pass,"Rs 2,75,000  ~ 2 Lacs+",Rs 0  ~,0,0,275000.0,0.0,10th Pass,Independent
27,A Seetha,TENKASI (SC),Bahujan Dravida Party,0,12th Pass,,,0,0,,,12th Pass,Regional
28,A T Munusamy,ERODE,Samaniya Makkal Nala Katchi,0,5th Pass,"Rs 84,73,646  ~ 84 Lacs+","Rs 20,00,000  ~ 20 Lacs+",0,0,8473646.0,2000000.0,5th Pass,Regional
29,A Vasudevan,PERAMBALUR,IND,0,Post Graduate,"Rs 1,00,000  ~ 1 Lacs+",Rs 0  ~,0,0,100000.0,0.0,Post Graduate,Independent
30,A Velusamy,TIRUPPUR,IND,0,10th Pass,,,0,0,,,10th Pass,Independent
31,A Vijayaraghavan,PALAKKAD,CPI(M),1,Graduate Professional,"Rs 1,11,51,017  ~ 1 Crore+",Rs 0  ~,1,1,11151017.0,0.0,Graduate,National
32,A. Ajithkumar,CHENNAI NORTH,Thakkam Katchi,0,Post Graduate,"Rs 61,21,581  ~ 61 Lacs+","Rs 20,46,216  ~ 20 Lacs+",0,0,6121581.0,2046216.0,Post Graduate,Regional
33,A. Balaji,CUDDALORE,IND,0,Others,,,0,0,,,Other,Independent
34,A. Devadas,BELLARY (ST),SUCI(C),0,8th Pass,"Rs 17,46,568  ~ 17 Lacs+",Rs 0  ~,0,0,1746568.0,0.0,8th Pass,Regional
35,A. G. Ramachandra Rao,MYSORE,Secular Democratic Congress,0,Graduate,"Rs 11,23,000  ~ 11 Lacs+",Rs 0  ~,0,0,1123000.0,0.0,Graduate,Regional
36,A. Gopala Krishna,EAST DELHI,Navarang Congress Party,2,12th Pass,,,2,1,,,12th Pass,Regional
37,A. K. Singh (Ashok),MUNGER,IND,0,Graduate Professional,"Rs 2,20,62,267  ~ 2 Crore+",Rs 0  ~,0,0,22062267.0,0.0,Graduate,Independent
38,A. Kadir Mastan Sayyed (Goregaonkar),HINGOLI,IND,0,8th Pass,"Rs 7,40,000  ~ 7 Lacs+",Rs 0  ~,0,0,740000.0,0.0,8th Pass,Independent
39,A. Kranthi Kumar,MEDAK,IND,0,10th Pass,,,0,0,,,10th Pass,Independent
40,A. M Ariff,ALAPPUZHA,CPI(M),3,Graduate Professional,"Rs 1,32,16,302  ~ 1 Crore+","Rs 60,95,458  ~ 60 Lacs+",3,1,13216302.0,6095458.0,Graduate,National
41,A. Madhu,THIRUPATHI (SC),Jai Hindustan Party,0,10th Pass,"Rs 54,300  ~ 54 Thou+",Rs 0  ~,0,0,54300.0,0.0,10th Pass,Regional
42,A. Purna Chandra,CHITTOOR (SC),IND,0,10th Pass,,,0,0,,,10th Pass,Independent
43,A. S. Sathish,MYSORE,IND,0,Graduate,"Rs 5,34,000  ~ 5 Lacs+",Rs 0  ~,0,0,534000.0,0.0,Graduate,Independent
44,A. Srinivasulu,MAHBUBNAGAR,IND,0,10th Pass,"Rs 20,000  ~ 20 Thou+",Rs 0  ~,0,0,20000.0,0.0,10th Pass,Independent
45,A. Varaprasad,THIRUPATHI (SC),Jatiya Jana Sena Party,0,12th Pass,,,0,0,,,12th Pass,Regional
46,A.D. Shivappa,SHIMOGA,BSP,0,Graduate,"Rs 2,17,56,000  ~ 2 Crore+","Rs 12,74,783  ~ 12 Lacs+",0,0,21756000.0,1274783.0,Graduate,National
47,A.Durairaj,TIRUCHIRAPPALLI,IND,0,5th Pass,"Rs 1,20,000  ~ 1 Lacs+",Rs 0  ~,0,0,120000.0,0.0,5th Pass,Independent
48,A.H. Siddiqui,RAJNANDGAON,IND,0,Post Graduate,,,0,0,,,Post Graduate,Independent
49,A.K. Ganesh,DAVANAGERE,IND,0,Literate,"Rs 19,15,000  ~ 19 Lacs+","Rs 17,50,000  ~ 17 Lacs+",0,0,1915000.0,1750000.0,Below 5th,Independent
50,A.Kaliyaperumal,TIRUVANNAMALAI,IND,0,5th Pass,"Rs 1,25,000  ~ 1 Lacs+",Rs 0  ~,0,0,125000.0,0.0,5th Pass,Independent
51,A.Selva Kumar,CHENNAI CENTRAL,Thakkam Katchi,0,10th Pass,,,0,0,,,10th Pass,Regional
52,A.T. Dadakhalandar,DAVANAGERE,Country Citizen Party,0,10th Pass,"Rs 50,500  ~ 50 Thou+","Rs 1,48,000  ~ 1 Lacs+",0,0,50500.0,148000.0,10th Pass,Regional
53,Aabdusa Sattar Sekh,BAHARAMPUR,Indian National Socialistic Action Forces,0,10th Pass,"Rs 75,19,370  ~ 75 Lacs+","Rs 8,00,000  ~ 8 Lacs+",0,0,7519370.0,800000.0,10th Pass,Regional
54,Aacharyadip Subhashchandra Ganoje,AKOLA,IND,0,Graduate,,,0,0,,,Graduate,Independent
55,Aakash Kumar Singh,MAHARAJGANJ,INC,0,12th Pass,"Rs 6,59,33,186  ~ 6 Crore+",Rs 0  ~,0,0,65933186.0,0.0,12th Pass,National
56,Aanand Misra,BUXAR,IND,0,12th Pass,"Rs 56,66,811  ~ 56 Lacs+","Rs 1,70,000  ~ 1 Lacs+",0,0,5666811.0,170000.0,12th Pass,Independent
57,Aarab Hasam Sumra,JUNAGADH,IND,0,5th Pass,,,0,0,,,5th Pass,Independent
58,Aarif Usman Mansuri,NASHIK,IND,0,Graduate,"Rs 47,41,576  ~ 47 Lacs+",Rs 0  ~,0,0,4741576.0,0.0,Graduate,Independent
59,Aarnakonda Raju,PEDDAPALLE (SC),IND,0,Post Graduate,"Rs 51,000  ~ 51 Thou+","Rs 2,50,000  ~ 2 Lacs+",0,0,51000.0,250000.0,Post Graduate,Independent
60,Aarti Kishorkumar Haldar,AHMEDNAGAR,Prabuddha Republican Party,0,5th Pass,,,0,0,,,5th Pass,Regional
61,Aashtikar Patil Nagesh Bapurao,HINGOLI,ShivSena (Uddhav Balasaheb Thackeray),0,Graduate,"Rs 8,05,85,824  ~ 8 Crore+","Rs 88,67,236  ~ 88 Lacs+",0,0,80585824.0,8867236.0,Graduate,Regional
62,Aasiriyar Shanmuga Sundaram K,THOOTHUKKUDI,IND,0,Post Graduate,"Rs 2,00,000  ~ 2 Lacs+",Rs 0  ~,0,0,200000.0,0.0,Post Graduate,Independent
63,Aathimuthukumar M,THENI,IND,2,5th Pass,,,2,1,,,5th Pass,Independent
64,Aatish Mohan Bansode,SOLAPUR (SC),IND,2,Post Graduate,"Rs 11,83,000  ~ 11 Lacs+","Rs 50,000  ~ 50 Thou+",2,1,1183000.0,50000.0,Post Graduate,Independent
65,Aayare Rajendra Lahu,RATNAGIRI - SINDHUDURG,BSP,0,Post Graduate,"Rs 26,05,500  ~ 26 Lacs+",Rs 0  ~,0,0,2605500.0,0.0,Post Graduate,National
66,Abbadi Buchi Reddy,KARIMNAGAR,IND,0,10th Pass,,,0,0,,,10th Pass,Independent
67,Abbagoni Ashok Goud,NIZAMABAD,Bahujana Left Party,0,Post Graduate,"Rs 1,80,000  ~ 1 Lacs+",Rs 0  ~,0,0,180000.0,0.0,Post Graduate,Regional
68,Abbavaram Ugendra,RAJAMPET,BSP,0,10th Pass,"Rs 72,500  ~ 72 Thou+",Rs 0  ~,0,0,72500.0,0.0,10th Pass,National
69,Abdhesh Kumar Roy,BEGUSARAI,CPI,4,12th Pass,,,4,1,,,12th Pass,National
70,Abdul Asif,KOTA,IND,0,10th Pass,"Rs 1,19,713  ~ 1 Lacs+",Rs 0  ~,0,0,119713.0,0.0,10th Pass,Independent
71,Abdul Azim Abdul Aziz Shaikh,AURANGABAD,IND,0,10th Pass,"Rs 1,00,000  ~ 1 Lacs+",Rs 0  ~,0,0,100000.0,0.0,10th Pass,Independent
72,Abdul Bari,BIJNOR,Jai Samta Party,1,Doctorate,,,1,1,,,Post Graduate,Regional
73,Abdul Basit,SOUTH DELHI,BSP,0,Graduate,"Rs 1,81,68,589  ~ 1 Crore+",Rs 0  ~,0,0,18168589.0,0.0,Graduate,National
74,Abdul Basit Tapadar,KARIMGANJ,IND,0,12th Pass,"Rs 13,35,000  ~ 13 Lacs+",Rs 0  ~,0,0,1335000.0,0.0,12th Pass,Independent
75,Abdul Goffar Talukdar,KARIMGANJ,IND,0,12th Pass,,,0,0,,,12th Pass,Independent
76,Abdul Hafeez Abdul Haque,DHULE,IND,0,12th Pass,"Rs 3,01,000  ~ 3 Lacs+",Rs 0  ~,0,0,301000.0,0.0,12th Pass,Independent
77,Abdul Hamed,DARRANG-UDALGURI,Rashtriya Ulama Council,0,12th Pass,"Rs 2,58,00,000  ~ 2 Crore+","Rs 4,45,000  ~ 4 Lacs+",0,0,25800000.0,445000.0,12th Pass,Regional
78,Abdul Hameed,KARIMGANJ,IND,0,12th Pass,,,0,0,,,12th Pass,Independent
79,Abdul Hoque,KAZIRANGA,IND,0,12th Pass,"Rs 2,01,30,389  ~ 2 Crore+","Rs 50,54,285  ~ 50 Lacs+",0,0,20130389.0,5054285.0,12th Pass,Independent
80,Abdul Imran,BIRBHUM,IND,0,12th Pass,"Rs 46,000  ~ 46 Thou+",Rs 0  ~,0,0,46000.0,0.0,12th Pass,Independent
81,Abdul Jabbar,VIDISHA,IND,0,5th Pass,,,0,0,,,5th Pass,Independent
82,Abdul Kalam Mazumder,KARIMGANJ,IND,3,8th Pass,"Rs 60,47,515  ~ 60 Lacs+",Rs 0  ~,3,1,6047515.0,0.0,8th Pass,Independent
83,Abdul Kareem K. S/O Assain,KOZHIKODE,IND,0,5th Pass,"Rs 21,11,700  ~ 21 Lacs+",Rs 0  ~,0,0,2111700.0,0.0,5th Pass,Independent
84,Abdul Kareem S/O Ayammath Kutty,KOZHIKODE,IND,0,10th Pass,,,0,0,,,10th Pass,Independent
85,Abdul Kareem S/O Mahammood,KOZHIKODE,IND,0,12th Pass,"Rs 10,000  ~ 10 Thou+",Rs 0  ~,0,0,10000.0,0.0,12th Pass,Independent
86,Abdul Mabood,SULTANPUR,Apna Desh Party,0,10th Pass,"Rs 1,56,52,700  ~ 1 Crore+",Rs 0  ~,0,0,15652700.0,0.0,10th Pass,Regional
87,Abdul Matin,SUPAUL,IND,0,Post Graduate,,,0,0,,,Post Graduate,Independent
88,Abdul Nazeer Ahammed,DAVANAGERE,IND,0,5th Pass,"Rs 17,28,000  ~ 17 Lacs+","Rs 80,000  ~ 80 Thou+",0,0,1728000.0,80000.0,5th Pass,Independent
89,Abdul Rafiq Abdul Latif,JALNA,IND,0,Literate,"Rs 1,06,000  ~ 1 Lacs+",Rs 0  ~,0,0,106000.0,0.0,Below 5th,Independent
90,Abdul Rais Ahemad,NANDED,Desh Janhit Party,0,5th Pass,,,0,0,,,5th Pass,Regional
91,Abdul Rajak Shaik,NARSARAOPET,IND,0,Graduate Professional,"Rs 1,19,64,145  ~ 1 Crore+","Rs 8,00,000  ~ 8 Lacs+",0,0,11964145.0,800000.0,Graduate,Independent
92,Abdul Raouf Malik,ANANTNAG-RAJOURI,IND,0,10th Pass,"Rs 3,23,27,353  ~ 3 Crore+","Rs 9,00,000  ~ 9 Lacs+",0,0,32327353.0,900000.0,10th Pass,Independent
93,Abdul Rashid,VIDISHA,IND,0,5th Pass,,,0,0,,,5th Pass,Independent
94,Abdul Rashid Sheikh,BARAMULLA,IND,3,Graduate,"Rs 1,56,37,424  ~ 1 Crore+","Rs 14,42,558  ~ 14 Lacs+",3,1,15637424.0,1442558.0,Graduate,Independent
95,Abdul Rouf Naik,ANANTNAG-RAJOURI,IND,0,Post Graduate,"Rs 2,00,000  ~ 2 Lacs+",Rs 0  ~,0,0,200000.0,0.0,Post Graduate,Independent
96,Abdul Samad,SITAMARHI,IND,0,Literate,,,0,0,,,Below 5th,Independent
97,Abdul Samad Bagwan,AURANGABAD,All India Majlis-E-Inquilab-E-Millat,0,Graduate,"Rs 22,82,613  ~ 22 Lacs+","Rs 5,37,000  ~ 5 Lacs+",0,0,2282613.0,537000.0,Graduate,Regional
98,Abdul Sattar A.S.R,KURNOOL,Anna YSR Congress Party,1,Post Graduate,"Rs 60,60,000  ~ 60 Lacs+","Rs 12,00,000  ~ 12 Lacs+",1,1,6060000.0,1200000.0,Post Graduate,Regional
99,Abdul Shakur Deshpande,JALGAON,IND,0,Graduate,,,0,0,,,Graduate,Independent
100,Abdul Tahir Advocate (Bablu Rajnikant) S/O Saeed Pahelwan Ansari,BHOPAL,Bahujan Maha Party,0,Graduate Professional,"Rs 57,31,072  ~ 57 Lacs+",Rs 0  ~,0,0,5731072.0,0.0,Graduate,Regional
101,Abdul Tahir Advocate Bablu Rajnikant,MUMBAI NORTH - CENTRAL,IND,0,Graduate Professional,"Rs 58,03,440  ~ 58 Lacs+",Rs 0  ~,0,0,5803440.0,0.0,Graduate,Independent
102,Abdulaziz Kaladagi Pendari,BAGALKOT,IND,0,8th Pass,,,0,0,,,8th Pass,Independent
103,Abdulhaq Ismail Nedariya,PATAN,IND,1,5th Pass,"Rs 46,25,500  ~ 46 Lacs+",Rs 0  ~,1,1,4625500.0,0.0,5th Pass,Independent
104,Abdulkuddus,PATAN,IND,0,5th Pass,"Rs 3,10,000  ~ 3 Lacs+",Rs 0  ~,0,0,310000.0,0.0,5th Pass,Independent
105,Abdulsalam S/O Muhammed Haji,MALAPPURAM,IND,1,8th Pass,,,1,1,,,8th Pass,Independent
106,Abdus Subhan Tapadar,KARIMGANJ,IND,0,12th Pass,"Rs 5,80,733  ~ 5 Lacs+",Rs 0  ~,0,0,580733.0,0.0,12th Pass,Independent
107,Abdussamed Malayampalli,PONNANI,IND,0,10th Pass,"Rs 43,68,382  ~ 43 Lacs+",Rs 0  ~,0,0,4368382.0,0.0,10th Pass,Independent
108,Abha Ray,VAISHALI,Peoples Party of India (Democratic),0,10th Pass,,,0,0,,,10th Pass,Regional
109,Abhang Gangaram Suryawanshi,LATUR (SC),IND,0,Graduate,"Rs 4,10,000  ~ 4 Lacs+","Rs 90,000  ~ 90 Thou+",0,0,410000.0,90000.0,Graduate,Independent
110,Abhay Jain,INDORE,IND,0,Graduate Professional,"Rs 56,20,000  ~ 56 Lacs+",Rs 0  ~,0,0,5620000.0,0.0,Graduate,Independent
111,Abhay Kashinath Patil,AKOLA,INC,1,Graduate Professional,,,1,1,,,Graduate,National
112,Abhay Kumar,MUZAFFARPUR,Samata Party,1,12th Pass,"Rs 50,85,000  ~ 50 Lacs+","Rs 7,00,000  ~ 7 Lacs+",1,1,5085000.0,700000.0,12th Pass,Regional
113,Abhay Kumar Ekka,RAIGARH (ST),IND,0,12th Pass,"Rs 4,50,014  ~ 4 Lacs+",Rs 0  ~,0,0,450014.0,0.0,12th Pass,Independent
114,Abhay Kumar Sinha,AURANGABAD,RJD,16,12th Pass,,,16,1,,,12th Pass,Regional
115,Abhay Singh Chautala,KURUKSHETRA,Indian National Lok Dal,1,10th Pass,"Rs 60,70,39,332  ~ 60 Crore+","Rs 10,57,60,528  ~ 10 Crore+",1,1,607039332.0,105760528.0,10th Pass,Regional
116,Abhaya Sheela,BANGALORE CENTRAL,Rashtriya Samaj Dal (R),2,12th Pass,"Rs 24,05,000  ~ 24 Lacs+","Rs 15,00,000  ~ 15 Lacs+",2,1,2405000.0,1500000.0,12th Pass,Regional
117,Abhijeet Ashokrao Pote,SHIRDI (SC),IND,0,Graduate,,,0,0,,,Graduate,Independent
118,Abhijit Das (Bobby),DIAMOND HARBOUR,BJP,13,Post Graduate,"Rs 99,18,174  ~ 99 Lacs+","Rs 5,52,898  ~ 5 Lacs+",13,1,9918174.0,552898.0,Post Graduate,National
119,Abhijit Gangopadhyay,TAMLUK,BJP,0,Graduate Professional,"Rs 4,62,55,624  ~ 4 Crore+","Rs 50,77,654  ~ 50 Lacs+",0,0,46255624.0,5077654.0,Graduate,National
120,Abhijit Maji,ARAMBAG (SC),IND,0,8th Pass,,,0,0,,,8th Pass,Independent
121,Abhijit Mandal,BAHARAMPUR,SUCI(C),0,Graduate,"Rs 84,85,209  ~ 84 Lacs+",Rs 0  ~,0,0,8485209.0,0.0,Graduate,Regional
122,Abhijit Wamanrao Bichukale,KALYAN,IND,1,Graduate,"Rs 9,29,111  ~ 9 Lacs+",Rs 0  ~,1,1,929111.0,0.0,Graduate,Independent
123,Abhilash Chelimela,MEDAK,IND,0,10th Pass,,,0,0,,,10th Pass,Independent
124,Abhilash Shirna,MEDAK,IND,1,10th Pass,"Rs 16,06,560  ~ 16 Lacs+","Rs 19,58,780  ~ 19 Lacs+",1,1,1606560.0,1958780.0,10th Pass,Independent
125,Abhinesh Singh,KHANDWA,Rashtriya Jan Awaz Party,0,Post Graduate,"Rs 71,000  ~ 71 Thou+",Rs 0  ~,0,0,71000.0,0.0,Post Graduate,Regional
126,Abhishek Banerjee,DIAMOND HARBOUR,AITC,2,Post Graduate,,,2,1,,,Post Graduate,Regional
127,Abhishek K,BANGALORE RURAL,Uttama Prajaakeeya Party,0,Graduate Professional,"Rs 1,01,81,571  ~ 1 Crore+",Rs 0  ~,0,0,10181571.0,0.0,Graduate,Regional
128,Abhishek Kumar,HAZARIBAGH,IND,1,12th Pass,"Rs 12,70,000  ~ 12 Lacs+","Rs 2,80,000  ~ 2 Lacs+",1,1,1270000.0,280000.0,12th Pass,Independent
129,Abhishek Pundir,GHAZIABAD,IND,0,Post Graduate,,,0,0,,,Post Graduate,Independent
130,Abid Ali,AONLA,BSP,1,10th Pass,"Rs 12,91,17,700  ~ 12 Crore+","Rs 64,88,190  ~ 64 Lacs+",1,1,129117700.0,6488190.0,10th Pass,National
131,Abid Husain,MEERUT,Social Democratic Party Of India,0,Others,"Rs 1,31,13,200  ~ 1 Crore+",Rs 0  ~,0,0,13113200.0,0.0,Other,Regional
132,Abilazan. N,KARUR,IND,0,Post Graduate,,,0,0,,,Post Graduate,Independent
133,Abinash Gomango,KORAPUT (ST),IND,0,Post Graduate,"Rs 4,11,000  ~ 4 Lacs+","Rs 11,54,931  ~ 11 Lacs+",0,0,411000.0,1154931.0,Post Graduate,Independent
134,Abinash Samal,DHENKANAL,BJD,0,Post Graduate,"Rs 36,78,50,379  ~ 36 Crore+","Rs 13,95,40,560  ~ 13 Crore+",0,0,367850379.0,139540560.0,Post Graduate,Regional
135,Abinaya,DHARMAPURI,Naam Tamilar Katchi,0,Graduate Professional,,,0,0,,,Graduate,Regional
136,Abishek Goud Thabeti,MEDAK,Jana Shankhaaraavam Party,0,10th Pass,"Rs 28,66,000  ~ 28 Lacs+","Rs 43,00,000  ~ 43 Lacs+",0,0,2866000.0,4300000.0,10th Pass,Regional
137,Abu Eusuf Md Raihan Uddin,NAGAON,IND,1,Graduate Professional,"Rs 57,51,077  ~ 57 Lacs+",Rs 0  ~,1,1,5751077.0,0.0,Graduate,Independent
138,Abu Shama,NAGAON,IND,0,10th Pass,,,0,0,,,10th Pass,Independent
139,Abu Taher Khan,MURSHIDABAD,AITC,3,10th Pass,"Rs 3,84,76,131  ~ 3 Crore+",Rs 0  ~,3,1,38476131.0,0.0,10th Pass,Regional
140,Abubakkar Siddique,BARPETA,Rashtriya Ulama Council,0,12th Pass,"Rs 10,57,500  ~ 10 Lacs+",Rs 0  ~,0,0,1057500.0,0.0,12th Pass,Regional
141,Abul Hasan Ali Hasan Khan,MUMBAI SOUTH - CENTRAL,Vanchit Bahujan Aaghadi,0,12th Pass,,,0,0,,,12th Pass,Regional
142,Abul Kalam Azad,CHANDNI CHOWK,BSP,0,Graduate Professional,"Rs 93,69,380  ~ 93 Lacs+","Rs 10,44,407  ~ 10 Lacs+",0,0,9369380.0,1044407.0,Graduate,National
143,Abul Kalam Azad,BARPETA,AITC,0,10th Pass,"Rs 1,31,38,415  ~ 1 Crore+","Rs 7,94,950  ~ 7 Lacs+",0,0,13138415.0,794950.0,10th Pass,Regional
144,Abul Kasem,DARRANG-UDALGURI,Republican Party of India (Athawale),0,Graduate Professional,,,0,0,,,Graduate,Regional
145,Ac Shanmugam,VELLORE,BJP,0,Graduate Professional,"Rs 1,52,77,86,818  ~ 152 Crore+","Rs 28,84,69,177  ~ 28 Crore+",0,0,1527786818.0,288469177.0,Graduate,National
146,Achal Singh,KANGRA,IND,0,Post Graduate,"Rs 43,15,000  ~ 43 Lacs+",Rs 0  ~,0,0,4315000.0,0.0,Post Graduate,Independent
147,Achla Jethmalani,NEW DELHI,Jindabad Kranti Party,0,Post Graduate,,,0,0,,,Post Graduate,Regional
148,Achyutananda Samanta,KANDHAMAL,BJD,0,Doctorate,"Rs 71,43,693  ~ 71 Lacs+","Rs 50,00,000  ~ 50 Lacs+",0,0,7143693.0,5000000.0,Post Graduate,Regional
149,Ad. T.R. Nirala,JANJGIR-CHAMPA (SC),IND,0,Post Graduate,"Rs 58,00,674  ~ 58 Lacs+","Rs 30,80,000  ~ 30 Lacs+",0,0,5800674.0,3080000.0,Post Graduate,Independent
150,Adabala Siva,NARSAPURAM,IND,2,10th Pass,,,2,1,,,10th Pass,Independent
151,Adari Sarat Chandra,ANAKAPALLE,Jai Bharat National Party,0,Post Graduate,"Rs 2,76,000  ~ 2 Lacs+","Rs 1,10,000  ~ 1 Lacs+",0,0,276000.0,110000.0,Post Graduate,Regional
152,Adarsh Pandey,PILIBHIT,IND,1,Post Graduate,"Rs 52,26,281  ~ 52 Lacs+",Rs 0  ~,1,1,5226281.0,0.0,Post Graduate,Independent
153,Adarsh Ravishankar Thakur,NAGPUR,IND,0,Illiterate,,,0,0,,,Illiterate,Independent
154,Adarsha Mondal,HOWRAH,IND,0,12th Pass,"Rs 13,81,225  ~ 13 Lacs+",Rs 0  ~,0,0,1381225.0,0.0,12th Pass,Independent
155,Addanki Dorababu,NARSAPURAM,IND,0,10th Pass,"Rs 34,50,000  ~ 34 Lacs+","Rs 17,00,000  ~ 17 Lacs+",0,0,3450000.0,1700000.0,10th Pass,Independent
156,Addepalli Veera Venkat Subba Rao,NARSAPURAM,IND,0,Graduate,,,0,0,,,Graduate,Independent
157,Adhalge Laxman Sadashiv,MAVAL,IND,0,Graduate Professional,"Rs 6,97,98,493  ~ 6 Crore+",Rs 0  ~,0,0,69798493.0,0.0,Graduate,Independent
158,Adhalrao Shivaji Dattatrey,SHIRUR,NCP,5,12th Pass,"Rs 39,68,00,190  ~ 39 Crore+","Rs 3,89,40,472  ~ 3 Crore+",5,1,396800190.0,38940472.0,12th Pass,Regional
159,Adhau Ravikant Ramkrushna,AKOLA,Jay Vidarbha Party,0,10th Pass,,,0,0,,,10th Pass,Regional
160,Adhikari Deepak (Dev),GHATAL,AITC,0,Others,"Rs 37,13,47,069  ~ 37 Crore+","Rs 2,86,03,907  ~ 2 Crore+",0,0,371347069.0,28603907.0,Other,Regional
161,Adhikari Soumendu,KANTHI,BJP,6,Post Graduate,"Rs 2,61,79,993  ~ 2 Crore+","Rs 2,87,970  ~ 2 Lacs+",6,1,26179993.0,287970.0,Post Graduate,National
162,Adhir Chandra Barman,JALPAIGURI (SC),IND,0,10th Pass,,,0,0,,,10th Pass,Independent
163,Adhir Ranjan Chowdhury,BAHARAMPUR,INC,5,8th Pass,"Rs 11,73,48,800  ~ 11 Crore+","Rs 24,62,632  ~ 24 Lacs+",5,1,117348800.0,2462632.0,8th Pass,National
164,Adhir Swarnakar,BAHARAMPUR,IND,0,10th Pass,"Rs 57,000  ~ 57 Thou+",Rs 0  ~,0,0,57000.0,0.0,10th Pass,Independent
165,Adinarayana Duppanapudi,NARSAPURAM,IND,0,8th Pass,,,0,0,,,8th Pass,Independent
166,Adinarayana Taddi,VIZIANAGARAM,IND,0,8th Pass,"Rs 1,25,000  ~ 1 Lacs+",Rs 0  ~,0,0,125000.0,0.0,8th Pass,Independent
