Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
5252,Periyasamy K,MADURAI,IND,0,5th Pass,"Rs 3,83,000  ~ 3 Lacs+","Rs 42,000  ~ 42 Thou+"
5253,Perseen Singh,JAMMU,IND,0,12th Pass,,
5254,Perumal S,CHIDAMBARAM (SC),IND,2,10th Pass,"Rs 6,01,000  ~ 6 Lacs+",Rs 0  ~
5255,Perumalkumar P,THOOTHUKKUDI,Puthiya Makkal Tamil Desam Katchi,0,8th Pass,"Rs 31,68,000  ~ 31 Lacs+","Rs 13,29,000  ~ 13 Lacs+"
5256,Perwez Neyyar,DHANBAD,Aazad Samaj Party (Kanshi Ram),0,Post Graduate,,
5257,Peta Mohan,CHITTOOR (SC),IND,0,10th Pass,"Rs 50,000  ~ 50 Thou+",Rs 0  ~
5258,Peter Shallam,SHILLONG (ST),IND,0,Graduate Professional,"Rs 4,51,035  ~ 4 Lacs+",Rs 0  ~
5259,Phani Bhusan Choudhury,BARPETA,Asom Gana Parishad,1,Graduate,,
5260,Phani Prasad Katakam,CHEVELLA,Social Justice Party of India,0,Post Graduate,"Rs 1,43,06,040  ~ 1 Crore+",Rs 0  ~
5261,Phool Singh,KURUKSHETRA,IND,0,10th Pass,"Rs 67,04,000  ~ 67 Lacs+",Rs 0  ~
5262,Phool Singh Baraiya,BHIND (SC),INC,2,Graduate Professional,,
5263,Phulsingh Kachlam,BASTAR (ST),CPI,0,Post Graduate,"Rs 1,61,000  ~ 1 Lacs+",Rs 0  ~
5264,Phunde Lal Singh Marko,SHAHDOL (ST),INC,1,Post Graduate,"Rs 2,68,19,032  ~ 2 Crore+","Rs 96,19,670  ~ 96 Lacs+"
5265,Piar Chand Alias Koundal,CHANDIGARH,IND,0,Graduate Professional,,
5266,Pididhi Apparao,VISAKHAPATNAM,IND,0,10th Pass,"Rs 25,98,800  ~ 25 Lacs+","Rs 3,00,000  ~ 3 Lacs+"
5267,Pijush Kanti Rajak,PURULIA,IND,0,Graduate,"Rs 43,29,000  ~ 43 Lacs+","Rs 45,00,000  ~ 45 Lacs+"
5268,Pilaram Anant,RAIPUR,Sunder Samaj Party,0,8th Pass,,
5269,Pillela Srikanth,NAGARKURNOOL (SC),IND,0,Graduate Professional,"Rs 4,07,000  ~ 4 Lacs+",Rs 0  ~
5270,Pilli Babu Rao,GUNTUR,IND,0,8th Pass,"Rs 31,000  ~ 31 Thou+",Rs 0  ~
5271,Pinkesh Kumar,KHAGARIA,Rashtriya Jan Kalyan Party Secular,0,Graduate,,
5272,Pinku Paswan,SAMASTIPUR (SC),Rashtriya Jansambhavna Party,0,Graduate,"Rs 22,73,000  ~ 22 Lacs+",Rs 0  ~
5273,Pintu Sahani,GORAKHPUR,IND,3,Post Graduate,"Rs 22,46,203  ~ 22 Lacs+",Rs 0  ~
5274,Pitabas Sahu,ASKA,Sanatan Sanskriti Raksha Dal,1,8th Pass,,
5275,Pitabasa Naik,KEONJHAR (ST),AJSU Party,0,10th Pass,"Rs 30,84,000  ~ 30 Lacs+",Rs 0  ~
5276,Pitambar Jangde,RAIPUR,Aazad Samaj Party (Kanshi Ram),0,12th Pass,"Rs 3,79,00,000  ~ 3 Crore+","Rs 6,00,000  ~ 6 Lacs+"
5277,Pitambar Naik,MAYURBHANJ (ST),SUCI(C),0,10th Pass,,
5278,Piya Roy Chowdhury,COOCH BEHAR (SC),INC,0,Post Graduate,"Rs 1,07,52,713  ~ 1 Crore+","Rs 32,82,032  ~ 32 Lacs+"
5279,Piya Saha,BOLPUR,BJP,0,Graduate,"Rs 85,99,001  ~ 85 Lacs+",Rs 0  ~
5280,Piyarul Islam,BASIRHAT,IND,0,Graduate Professional,,
5281,Piyush Brajesh Rajoriya,MORENA,IND,0,Graduate Professional,"Rs 79,967  ~ 79 Thou+",Rs 0  ~
5282,Piyush Goyal,MUMBAI NORTH,BJP,0,Graduate Professional,"Rs 1,10,95,14,447  ~ 110 Crore+","Rs 14,22,65,061  ~ 14 Crore+"
5283,Piyush Singh,JAHANABAD,Shoshit Samaj Dal,0,Graduate,,
5284,Piyushbhai Bhavsar,AHMEDABAD EAST,Youth India Peace Party,0,10th Pass,"Rs 67,00,110  ~ 67 Lacs+","Rs 13,00,000  ~ 13 Lacs+"
5285,Pocha Brahmananda Reddy,NANDYAL,YSRCP,0,Post Graduate,"Rs 1,47,74,74,610  ~ 147 Crore+","Rs 54,37,44,458  ~ 54 Crore+"
5286,Podishetti Sammaiah,KARIMNAGAR,Bahujan Mukti Party,0,Illiterate,,
5287,Pogula Ashok,WARANGAL (SC),IND,2,12th Pass,"Rs 38,92,000  ~ 38 Lacs+","Rs 2,50,000  ~ 2 Lacs+"
5288,Polishetty Venkateshwarlu,NALGONDA,IND,0,12th Pass,"Rs 3,10,000  ~ 3 Lacs+",Rs 0  ~
5289,Pon V Balaganapathy,TIRUVALLUR (SC),BJP,3,Graduate Professional,,
5290,Ponkumaran T P S,THOOTHUKKUDI,IND,0,Post Graduate,"Rs 2,66,32,473  ~ 2 Crore+",Rs 0  ~
5291,Ponnudurai A,CHENNAI SOUTH,IND,0,Graduate,"Rs 8,31,000  ~ 8 Lacs+",Rs 0  ~
5292,Ponraj K,THOOTHUKKUDI,IND,0,10th Pass,,
5293,Pooja,AGRA (SC),IND,0,8th Pass,"Rs 3,21,303  ~ 3 Lacs+",Rs 0  ~
5294,Pooja (Bhagtani),NORTH WEST DELHI (SC),Bharatiya Jan Jagriti Party,0,Illiterate,"Rs 5,41,493  ~ 5 Lacs+",Rs 0  ~
5295,Pooja Amrohi,AGRA (SC),BSP,0,Graduate,,
5296,Pooja N. Annaiah,SHIMOGA,IND,0,Graduate Professional,"Rs 33,000  ~ 33 Thou+",Rs 0  ~
5297,Pooja Pankaj Tadas,WARDHA,IND,3,Graduate Professional,"Rs 95,000  ~ 95 Thou+",Rs 0  ~
5298,Pooja Saxena,GHAZIABAD,Right to Recall Party,0,Graduate,,
5299,Pooja Sidar,RAIGARH (ST),IND,0,12th Pass,"Rs 1,50,100  ~ 1 Lacs+",Rs 0  ~
5300,Poola Reddy Sekhar,RAJAMPET,IND,0,Graduate,"Rs 10,75,000  ~ 10 Lacs+",Rs 0  ~
5301,Poonam Jagannath Baisane,KALYAN,Bahujan Republican Socialist Party,0,Post Graduate,,
5302,Poonam Mor,HISAR,IND,0,10th Pass,"Rs 59,04,753  ~ 59 Lacs+","Rs 1,60,000  ~ 1 Lacs+"
5303,Poonam Rani,BATHINDA,Nationalist Justice Party,0,Illiterate,"Rs 17,80,000  ~ 17 Lacs+",Rs 0  ~
5304,Poonam Singh,BHAGALPUR,BSP,0,Literate,,
5305,Poonam Srivastava,SOUTH DELHI,IND,0,Graduate,"Rs 3,67,66,464  ~ 3 Crore+","Rs 1,42,000  ~ 1 Lacs+"
5306,Poonamben Hematbhai Maadam,JAMNAGAR,BJP,0,Graduate,"Rs 1,47,70,02,341  ~ 147 Crore+","Rs 53,00,00,000  ~ 53 Crore+"
5307,"Poongody, A.",TIRUVANNAMALAI,IND,0,12th Pass,,
